,descrizione,numero
365,Laurea in scienze politiche; direttrice fondazione culturale di Banca Etica,1
366,Funzionario di partito,15
367,Diploma di liceo linguistico;  Imprenditore del settore impiantistico,1
368,"Laurea in giurisprudenza; Avvocato civilista, Insegnante di scuola secondaria superiore",1
369,Sindacalista.,16
370,Maturità classica; Libero professionista,1
371,Laurea in scienze politiche;  Ricercatore universitario,1
372,Laurea in lettere e filosofia; docente universitario.,1
373,Laurea in scienze biologiche; Sottosegretario al Ministero della transizione ecologica (dal 01/03/2021),1
374,Laurea in lettere e filosofia,2
375,Laurea in lettere; docente universitario.,2
376,Laurea in giurisprudenza; Giornalista pubblicista,1
377,"Laurea in filosofia teoretica, morale, politica ed estetica; Dottoranda",1
378,"Laurea in economia bancaria, Dottorato di ricerca in Scienze della formazione; Imprenditore",1
379,Laurea in lingue e letterature straniere;  Dirigente scolastico,1
380,Diploma di accademia; insegnante,2
381,"Laurea in scienze dell'educazione; Master di II livello in ""Strategie Organizzative e di Innovazione nella P.A.""; Dipendente pubblico",1
382,Laurea in ingegneria civile e ambientale; Tecnico di laboratorio,1
383,Diploma accademico di magistero in scienze religiose; Insegnante di scuola secondaria superiore,2
384,Laurea in filosofia; dirigente di partito,4
385,Laurea in matematica; preside scuola secondaria superiore,4
386,"Laurea in farmacia; farmacista, insegnante",1
387,Licenza media inferiore; impiegato,2
388,Diploma di istituto tecnico commerciale; ADEST - Assistente domiciliare e servizi tutelari,1
389,Diploma di istituto tecnico commerciale;  Imprenditrice nel settore dei servizi,1
390,Laurea in materie letterarie; insegnante,1
391,Diploma universitario di traduttore e interprete;  Interprete,1
392,"Laurea in musicologia e beni musicali; Organizzatrice teatrale e musicale, responsabile comunicazione",1
393,Licenza media superiore; sindacalista.,2
394,Diploma di liceo classico;  Libero professionista,1
395,Laurea in scienze economiche e commerciali; dirigente d'azienda.,2
396,Laurea in scienze politiche; Imprenditore del terzo settore,1
397,"Laurea in giurisprudenza, abilitazione alla professione di avvocato; Libero professionista",1
398,Laurea in pedagogia; Responsabile amministrativo dipartimento universitario,1
399,"Giornalista pubblicista, Presidente del consorzio universitario di Crotone, Viceresponsabile dipartimento enti locali direzione nazionale DS",1
400,Diploma di istituto tecnico commerciale; Sindaco,1
401,"Laurea in lingue e letterature straniere, Laurea in storia dell'arte;  Giornalista",1
402,Laurea in giurisprudenza;  Praticante avvocato,1
403,"Laurea in giurisprudenza; Avvocato civilista, Giornalista pubblicista",1
404,"Laurea in psicologia, Master universitario di II livello in psicodiagnostica e valutazione psicologica, Master in terapia strategica familiare, Specializzazione quadriennale in psicoterapia breve strategica; Psicologa e Psicoterapeuta",1
405,Laurea in giurisprudenza; Broker,1
406,Laurea in scienze economiche e commerciali; libero professionista,2
407,"Liceo classico; giornalista, direttore del Secolo d'Italia",1
408,Laurea in scienze economiche; Dirigente pubblico,1
409,Laurea in medicina veterinaria; Dirigente sanitario,1
410,Laurea in relazioni internazionali; Esperta in relazioni internazionali,1
411,diploma di ist. magistrale;artigiano,2
412,Laurea in scienze politiche; imprenditore,2
413,Laurea in medicina e chirurgia; Specialista in reumatologia convenzionata medicina generale SSN,1
414,Accademia delle Belle Arti; dipendente pubblico - funzionario,1
415,Diploma di istituto tecnico commerciale; Impiegata addetta alla gestione del personale,1
416,Laurea in lettere e in giurisprudenza; insegnante.,1
417,Laurea in giurisprudenza;  Avvocato penalista,3
418,Laurea in scienze della comunicazione,1
419,Laurea in lettere;  Insegnante di scuola secondaria superiore,1
420,Diploma di istituto tecnico commerciale; Dipendente pubblico,1
421,"Laurea in giurisprudenza, Corsi e scritti di specializzazione e approfondimenti; Avvocata penalista ed esperta in diritto dell'immigrazione",1
422,Diploma di liceo scientifico;  Imprenditrice del settore della comunicazione ed eventi,1
423,Laurea in giurisprudenza; Docente Accademia di Belle Arti,1
424,Diploma di istituto tecnico per geometri; Libero professionista,3
425,Laurea in ingegneria gestionale,2
426,"Laurea in giurisprudenza, Dottorato di ricerca; Avvocato, Assistente universitario",1
427,Laurea in giurisprudenza; Funzionario amministrativo contabile del MIMS,1
