Governo,Ministro,nome,cognome,gender
I Governo Leone,Ministro di Grazia e Giustizia,GIACINTO,BOSCO,male
I Governo Moro,Ministro del Lavoro e della Previdenza Sociale,GIACINTO,BOSCO,male
III Governo Moro,Ministro del Lavoro e della Previdenza Sociale,GIACINTO,BOSCO,male
II Governo Leone,Ministro del Lavoro e della Previdenza Sociale,GIACINTO,BOSCO,male
I Governo Rumor,Ministro senza Portafoglio,GIACINTO,BOSCO,male
II Governo Leone,Ministro delle Poste e Telecomunicazioni,ANGELO,DE LUCA,male
I Governo Moro,MInistro della Marina Mercantile,GIOVANNI,SPAGNOLLI,male
II Governo Moro,Ministro della Marina Mercantile,GIOVANNI,SPAGNOLLI,male
III Governo Moro,Ministro delle Poste e Telecomunicazioni,GIOVANNI,SPAGNOLLI,male
II Governo Leone,Ministro della Marina Mercantile,GIOVANNI,SPAGNOLLI,male
I Governo Leone,Ministro delle Partecipazioni Statali,GIORGIO,BO,male
I Governo Moro,Ministro delle Partecipazioni Statali,GIORGIO,BO,male
II Governo Moro,Ministro delle Partecipazioni Statali,GIORGIO,BO,male
III Governo Moro,Ministro delle Partecipazioni Statali,GIORGIO,BO,male
II Governo Leone,Ministro delle Partecipazioni Statali,GIORGIO,BO,male
I Governo Leone,Ministro del Commercio con l'Estero,GIUSEPPE,TRABUCCHI,male
II Governo Leone,Ministro della Sanità,ENNIO,ZELIOLI LANZINI,male
I Governo Moro,Ministro senza Portafoglio,CARLO,ARNAUDI,male
II Governo Moro,Ministro senza Portafoglio,CARLO,ARNAUDI,male
I Governo Leone,Ministro della Pubblica Istruzione,LUIGI,GUI,male
I Governo Moro,Ministro della Pubblica Istruzione,LUIGI,GUI,male
II Governo Moro,Ministro della Pubblica Istruzione,LUIGI,GUI,male
III Governo Moro,MInistro della Pubblica Istruzione,LUIGI,GUI,male
II Governo Leone,Ministro della Difesa,LUIGI,GUI,male
I Governo Rumor,Ministro della Difesa,LUIGI,GUI,male
I Governo Rumor,Ministro senza Portafoglio,SALVATORE,LAURICELLA,male
I Governo Leone,Ministro senza Portafoglio,ROBERTO,LUCIFREDI,male
II Governo Leone,Ministro del Turismo e Spettacolo,DOMENICO,MAGRI',male
I Governo Moro,Ministro della Sanità,GIACOMO,MANCINI,male
II Governo Moro,Ministro dei Lavori Pubblici,GIACOMO,MANCINI,male
III Governo Moro,Ministro dei Lavori Pubblici,GIACOMO,MANCINI,male
I Governo Rumor,Ministro dei Lavori Pubblici,GIACOMO,MANCINI,male
