Governo,Ministro,nome,cognome,gender,legislatura
I Governo Amato,Ministro delle Finanze,GIULIANO,AMATO,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_11
I Governo Amato,Ministro della Giustizia,GIULIANO,AMATO,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_11
I Governo Amato,Ministro del Bilancio e della Programmazione economica,BENIAMINO,ANDREATTA,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_11
I Governo Ciampi,Ministro degli Affari esteri,BENIAMINO,ANDREATTA,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_11
VI Governo Andreotti,Ministro della Sanità,FRANCESCO,DE LORENZO,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_10
VII Governo Andreotti,Ministro della Sanita',FRANCESCO,DE LORENZO,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_10
I Governo Amato,Ministro della Sanità,FRANCESCO,DE LORENZO,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_11
VI Governo Andreotti,Ministro del Lavoro e della Previdenza sociale,CARLO,DONAT CATTIN,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_10
VI Governo Andreotti,Ministro delle Finanze,SALVATORE,FORMICA,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_10
VII Governo Andreotti,Ministro delle Finanze,SALVATORE,FORMICA,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_10
VI Governo Andreotti,Ministro della Difesa,FERMO MINO,MARTINAZZOLI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_10
VII Governo Andreotti,Ministro senza Portafoglio per gli Affari regionali e le riforme istituzionali,FERMO MINO,MARTINAZZOLI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_10
VII Governo Andreotti,Ministro senza Portafoglio per le riforme istituzionali,FERMO MINO,MARTINAZZOLI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_10
VI Governo Andreotti,Ministro della Pubblica Istruzione,SERGIO,MATTARELLA,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_10
I Governo Berlusconi,Ministro dell'Ambiente,ALTERO,MATTEOLI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_12
I Governo Berlusconi,"Ministro per le Risorse agricole, Alimentari e Forestali",ADRIANA,POLI BORTONE,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_12
I Governo Ciampi,Ministro dell'Ambiente,FRANCESCO,RUTELLI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_11
I Governo Ciampi,Ministro delle Finanze,VINCENZO ALFONSO,VISCO,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_11
VI Governo Andreotti,Ministro delle Partecipazioni statali,CARLO,FRACANZANI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_10
VI Governo Andreotti,Ministro di Grazia e Giustizia,GIULIANO,VASSALLI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_10
VI Governo Andreotti,Ministro senza Portafoglio per la funzione pubblica,REMO,GASPARI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_10
VII Governo Andreotti,Ministro senza Portafoglio per la funzione pubblica,REMO,GASPARI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_10
VI Governo Andreotti,Ministro dell'Interno,ANTONIO,GAVA,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_10
VI Governo Andreotti,Ministro dei Beni culturali e ambientali,FERDINANDO,FACCHIANO,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_10
VII Governo Andreotti,Ministro della Marina Mercantile,FERDINANDO,FACCHIANO,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_10
I Governo Amato,Ministro senza Portafoglio per il coordinamento della protezione civile,FERDINANDO,FACCHIANO,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_11
I Governo Amato,"Ministro dell'Industria, Commercio e Artigianato",GIUSEPPE,GUARINO,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_11
I Governo Amato,Ministro per le partecipazioni statali,GIUSEPPE,GUARINO,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_11
I Governo Dini,Ministro degli Affari esteri,SUSANNA,AGNELLI,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_12
I Governo Dini,Ministro del Bilancio e della programmazione economica,MARIO,ARCELLI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_12
I Governo Dini,Ministro senza portafoglio per le Politiche dell'Unione Europea,MARIO,ARCELLI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_12
I Governo Ciampi,"Ministro dell' Industria, commercio e artigianato",PAOLO,BARATTA,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_11
I Governo Ciampi,Ministro del Commercio con l'estero,PAOLO,BARATTA,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_11
I Governo Dini,Ministro dei Lavori pubblici,PAOLO,BARATTA,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_12
I Governo Dini,Ministro dell'Ambiente,PAOLO,BARATTA,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_12
I Governo Amato,Ministro senza portafoglio per il riordinamento delle partecipazioni statali,PAOLO,BARATTA,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_11
I Governo Ciampi,Ministro senza Portafoglio per i rapporti con il Parlamento,PAOLO,BARILE,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_11
I Governo Amato,Ministro del Tesoro,PIERO,BARUCCI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_11
I Governo Ciampi,Ministro del Tesoro,PIERO,BARUCCI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_11
I Governo Amato,Ministro senza Portafoglio per la Funzione pubblica,PIERO,BARUCCI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_11
I Governo Berlusconi,Ministro senza portafoglio per gli Italiani nel mondo,SERGIO,BERLINGUER,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_12
I Governo Amato,Ministro senza Portafoglio per gli Affari sociali,ADRIANO,BOMPIANI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_11
I Governo Dini,Ministro dell'Interno,ANTONIO,BRANCACCIO,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_12
