d,cognome,nome,legislatura,gruppoParlamentare
http://dati.camera.it/ocd/deputato.rdf/d13220_3,LEONE,RAFFAELE,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03,MEMBRO DEL C.D.
http://dati.camera.it/ocd/deputato.rdf/d13250_3,NEGARVILLE,CELESTE CARLO,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03,MEMBRO DEL C.D.
http://dati.camera.it/ocd/deputato.rdf/d13280_2,MAROTTA,MICHELE ENRICO,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02,MEMBRO DEL C.D.
http://dati.camera.it/ocd/deputato.rdf/d13360_0,ALLEGATO,LUIGI,http://dati.camera.it/ocd/legislatura.rdf/costituente,MEMBRO DEL C.D.
http://dati.camera.it/ocd/deputato.rdf/d13390_2,CORTESE,PASQUALE,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02,MEMBRO DEL C.D.
http://dati.camera.it/ocd/deputato.rdf/d13400_2,MORELLI,LUIGI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02,MEMBRO DEL C.D.
http://dati.camera.it/ocd/deputato.rdf/d13410_2,ALICATA,MARIO,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02,MEMBRO DEL C.D.
http://dati.camera.it/ocd/deputato.rdf/d13410_3,ALICATA,MARIO,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03,MEMBRO DEL C.D.
http://dati.camera.it/ocd/deputato.rdf/d13430_2,MARTINO,GAETANO,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02,VICEPRESIDENTE
http://dati.camera.it/ocd/deputato.rdf/d13460_2,CUCCO,ALFREDO,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02,MEMBRO DEL C.D.
http://dati.camera.it/ocd/deputato.rdf/d13520_3,TONETTI,GIOVANNI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03,MEMBRO DEL C.D.
http://dati.camera.it/ocd/deputato.rdf/d13600_0,SALVATORE,ATTILIO,http://dati.camera.it/ocd/legislatura.rdf/costituente,MEMBRO DEL C.D.
http://dati.camera.it/ocd/deputato.rdf/d13600_1,SALVATORE,ATTILIO,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01,MEMBRO DEL C.D.
http://dati.camera.it/ocd/deputato.rdf/d13610_2,DEGLI OCCHI,CESARE,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02,MEMBRO DEL C.D.
http://dati.camera.it/ocd/deputato.rdf/d13610_3,DEGLI OCCHI,CESARE,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03,VICEPRESIDENTE
http://dati.camera.it/ocd/deputato.rdf/d13640_1,GUERRIERI,EMANUELE,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01,MEMBRO DEL C.D.
