nome,cognome,gender,legislatura
MARIA,JERVOLINO,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02
MARIA,JERVOLINO,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03
CARMEN,CASAPIERI,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_06
CARMEN,CASAPIERI,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_07
MARIA LUISA,CASSANMAGNAGO,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_06
MARIA LUISA,CASSANMAGNAGO,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_07
MARIA IMMACOLATA,BARBAROSSA,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_07
MARIA IMMACOLATA,BARBAROSSA,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_08
IVANA,BERNINI LAVEZZO,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_07
ELETTA,BERTANI,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_07
ELETTA,BERTANI,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_08
ROMANA,BIANCHI,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_07
ROMANA,BIANCHI,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_08
ROMANA,BIANCHI,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_09
EMMA,BONINO,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_07
EMMA,BONINO,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_08
EMMA,BONINO,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_09
