Anno;Mese;Museo;Visitatori;Utenti
2019;settembre;Collezioni Comunali d'Arte;1871;54
2019;settembre;Museo Davia Bargellini;2116;17
2019;settembre;Villa delle Rose;0;286
2019;settembre;Museo del Patrimonio Industriale;1008;508
2019;ottobre;Museo della Tappezzeria;0;0
2019;ottobre;Villa delle Rose;7300;0
2019;ottobre;Museo del Risorgimento;691;279
2019;ottobre;Museo della Musica;4506;747
2019;novembre;Museo del Risorgimento;812;398
2019;dicembre;MAMbo e Museo Morandi;7280;5656
2019;dicembre;Casa Morandi;171;52
2020;gennaio;Collezioni Comunali d'Arte;2886;0
2020;gennaio;Museo della Tappezzeria;0;0
2020;gennaio;Museo per la Memoria di Ustica;1306;135
2020;gennaio;Museo del Risorgimento;812;308
2020;febbraio;Museo Archeologico;14134;2705
2020;febbraio;Museo della Tappezzeria;0;0
2020;febbraio;Villa delle Rose;157;0
2020;febbraio;Museo per la Memoria di Ustica;1178;92
2020;febbraio;Casa Morandi;136;16
2020;febbraio;Museo del Patrimonio Industriale;3312;2129
2020;marzo;Museo Archeologico;466;4
2020;marzo;Collezioni Comunali d'Arte;58;0
2020;marzo;MAMbo e Museo Morandi;470;388
2020;aprile;Collezioni Comunali d'Arte;0;21
2020;aprile;Museo Medievale;0;149
2020;aprile;MAMbo e Museo Morandi;0;25
2020;maggio;Museo Davia Bargellini;227;138
2020;maggio;Museo della Tappezzeria;0;0
2020;maggio;Museo per la Memoria di Ustica;64;31
2020;maggio;Casa Morandi;15;0
2020;maggio;Museo della Musica;71;0
2020;giugno;Collezioni Comunali d'Arte;290;0
2020;giugno;Museo Davia Bargellini;544;90
2020;giugno;Museo Medievale;426;104
2020;giugno;MAMbo e Museo Morandi;827;731
