nome,cognome,gender
AURELIO,CIACCI,male
GIOVANNI,ROSSINO,male
ARMANDO,SARTI,male
MAURO,SAVINO,male
TOMMASO,SICOLO,male
AGOSTINO,SPATARO,male
LUIGI,SPAVENTA,male
ALTIERO,SPINELLI,male
GIUSEPPE,SPOSETTI,male
CARLO,SQUERI,male
ROLANDO,TAMBURINI,male
NADIR,TEDESCHI,male
ARISTIDE,TESINI,male
GIANGIACOMO,TESSARI,male
GIORGIO,TOMBESI,male
FRANCESCO,TONI,male
GIOVANNI,TORRI,male
ALDO,TOZZETTI,male
GIUSEPPE SIRO,TREZZINI,male
NICOLA,VERNOLA,male
ROSARIO,VILLARI,male
ANTONIO,ZAVAGNIN,male
MICHELE,ZUCCALA',male
GUGLIELMO,ZUCCONI,male
GIUSEPPE,CITTADINI,male
DOMENICO,PINTO,male
FABIO MARIA,CIUFFINI,male
MARCO,BERTOLI,male
ALBERTO,SPIGAROLI,male
MICHELE,CASSANO,male
CASIMIRO,BONFIGLIO,male
ANGELO,CIAVARELLA,male
GIOVANNINO,FIORI,male
POMPEO,COLAJANNI,male
TULLIO,BENEDETTI,male
MICHELE,COLUMBU,male
EMIDIO,BRUNI,male
GIUSEPPE,BUFARDECI,male
PRIMO,BUZZETTI,male
OSVALDO,CAGNASSO,male
GIUSEPPE,AMADEI,male
MARINO,CALVARESI,male
ETTORE,CALVI,male
FRANCESCO,CANDELLI,male
ENZO,CAPALOZZA,male
ANTONIO,CAPUA,male
GIULIO,CERRETI,male
ENNIO,CERVELLATI,male
FRANCO,CONCAS,male
ADRIANO,CIAFFI,male
ALARICO,CARRASSI,male
VINCENZO,CASATI,male
GENNARO,CASSIANI,male
ONORIO,CENGARLE,male
TRISTANO,CODIGNOLA,male
AURELIO,COLLEONI,male
ARNALDO,COLLESELLI,male
ARTURO RAFFAELLO,COLOMBI,male
RENATO,COLOMBO,male
CARLO,COLONNA DI PALIANO,male
ANGELO,COMPAGNONI,male
LUIGI,CONTE,male
ACHILLE,CORONA,male
ANTONIO,CREMISINI,male
LUCIANO,DAL FALCO,male
LUIGI,D'AMATO,male
UMBERTO,DELLE FAVE,male
FERNANDO,DE MARZI,male
LUIGI,DE MICHELE,male
ANTONIO,DE VITO,male
GIUSEPPE,CORTESE,male
SALVATORE,DI BENEDETTO,male
LUIGI,DI PAOLANTONIO,male
GIUSEPPE,DI PRISCO,male
