nome,cognome,legislatura,incarico
ALBERTO,GUIDI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_05,VICEPRESIDENTE
MARIO,BERLINGUER,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03,VICEPRESIDENTE
MARIO,BERLINGUER,http://dati.camera.it/ocd/legislatura.rdf/repubblica_04,VICEPRESIDENTE
TARCISIO,PACATI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02,SEGRETARIO
ANTONIO,MOLINAROLI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01,VICEPRESIDENTE
ITALO GIULIO,CAIATI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_04,PRESIDENTE
ITALO GIULIO,CAIATI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_05,PRESIDENTE
FERDINANDO,TAMBRONI ARMAROLI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01,VICEPRESIDENTE
ARNALDO,AZZI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01,VICEPRESIDENTE
GUIDO,FALETRA,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03,VICEPRESIDENTE
UMBERTO,SANNICOLO',http://dati.camera.it/ocd/legislatura.rdf/repubblica_03,VICEPRESIDENTE
GUIDO,BERNARDI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02,VICEPRESIDENTE
GIUSEPPE,FERRANDI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01,SEGRETARIO
GIUSEPPE,FERRANDI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01,RELATORE
NATALE,DI PIAZZA,http://dati.camera.it/ocd/legislatura.rdf/repubblica_04,VICEPRESIDENTE
RICCARDO,FABBRI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_04,SEGRETARIO
RICCARDO,FABBRI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_04,VICEPRESIDENTE
LUIGI,CACCIATORE,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01,VICEPRESIDENTE
MASSIMO,DEL FANTE,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02,VICEPRESIDENTE
VITTORIO,CALVETTI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_05,SEGRETARIO
RAFFAELE,RESTA,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01,PRESIDENTE
RAFFAELE,RESTA,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01,SEGRETARIO
RAFFAELE,RESTA,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02,PRESIDENTE
RAFFAELE,RESTA,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02,VICEPRESIDENTE
RAFFAELE,RESTA,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03,PRESIDENTE
GIOVANNI,PALAZZOLO,http://dati.camera.it/ocd/legislatura.rdf/repubblica_04,VICEPRESIDENTE
FERNANDO,SANTI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01,VICEPRESIDENTE
FERNANDO,SANTI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02,PRESIDENTE
FERNANDO,SANTI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_04,VICEPRESIDENTE
GUGLIELMO,SCHIRATTI,http://dati.camera.it/ocd/legislatura.rdf/costituente,SEGRETARIO
GUGLIELMO,SCHIRATTI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01,QUESTORE
