persona,nome,cognome,gender
http://dati.camera.it/ocd/persona.rdf/p11110,LUCIANO,DE PASCALIS,male
http://dati.camera.it/ocd/persona.rdf/p11120,CASIMIRO,VIZZINI,male
http://dati.camera.it/ocd/persona.rdf/p11140,AGOSTINO,GREGGI,male
http://dati.camera.it/ocd/persona.rdf/p11150,ANGELO,BONAITI,male
http://dati.camera.it/ocd/persona.rdf/p11160,ARMANDO,CASCIO,male
http://dati.camera.it/ocd/persona.rdf/p11180,UGO,MARCHESI,male
http://dati.camera.it/ocd/persona.rdf/p11200,GIOVANNI,GIRAUDI,male
http://dati.camera.it/ocd/persona.rdf/p1120,LUCIO MARIANO,BRANDI,male
http://dati.camera.it/ocd/persona.rdf/p11250,MATTEO,AGOSTA,male
http://dati.camera.it/ocd/persona.rdf/p11260,GOFFREDO,NANNINI,male
http://dati.camera.it/ocd/persona.rdf/p11270,ALFONSO,CERRETI,male
http://dati.camera.it/ocd/persona.rdf/p11280,ARCHIMEDE,TAVERNA,male
http://dati.camera.it/ocd/persona.rdf/p1130,PIERGIORGIO,BRESSANI,male
http://dati.camera.it/ocd/persona.rdf/p1140,FEDERICO,BRINI,male
http://dati.camera.it/ocd/persona.rdf/p11500,PIETRO LUDOVICO,VERGANI,male
http://dati.camera.it/ocd/persona.rdf/p1150,PIETRO,BRUSCHI,male
http://dati.camera.it/ocd/persona.rdf/p11540,ALDO,ARZILLI,male
http://dati.camera.it/ocd/persona.rdf/p11620,SILVIO,AMBROSINI,male
http://dati.camera.it/ocd/persona.rdf/p11670,GIOVANNI,DELLO JACOVO,male
http://dati.camera.it/ocd/persona.rdf/p1170,PIETRO,BUCALOSSI,male
http://dati.camera.it/ocd/persona.rdf/p11850,FEDERICO,COMANDINI,male
http://dati.camera.it/ocd/persona.rdf/p11930,GIUSEPPE ANTONIO,BOTTARO,male
http://dati.camera.it/ocd/persona.rdf/p11580,GIUSEPPE,SALES,male
http://dati.camera.it/ocd/persona.rdf/p11960,GIULIO,PERUGI,male
http://dati.camera.it/ocd/persona.rdf/p11970,GIACINTO,ARTALE,male
http://dati.camera.it/ocd/persona.rdf/p11980,FILIPPO,BARATTOLO,male
http://dati.camera.it/ocd/persona.rdf/p12000,BARTOLOMEO,CANNIZZO,male
http://dati.camera.it/ocd/persona.rdf/p12010,PIETRO,PRESSINOTTI,male
http://dati.camera.it/ocd/persona.rdf/p12020,CAMILLO,CORSANEGO,male
http://dati.camera.it/ocd/persona.rdf/p12030,MATTEO,TONENGO,male
http://dati.camera.it/ocd/persona.rdf/p12050,ALBERIGO,LENZA,male
http://dati.camera.it/ocd/persona.rdf/p12060,GUIDO,RUSSO PEREZ,male
http://dati.camera.it/ocd/persona.rdf/p12070,GIOVANNI,PERLINGIERI,male
http://dati.camera.it/ocd/persona.rdf/p12080,GIACOMO,CASONI,male
http://dati.camera.it/ocd/persona.rdf/p12090,GIUSEPPE,BABBI,male
http://dati.camera.it/ocd/persona.rdf/p12100,CESARE,CURCIO,male
http://dati.camera.it/ocd/persona.rdf/p12110,PAOLO,TREVES,male
http://dati.camera.it/ocd/persona.rdf/p12120,FRANCESCO,NAPOLITANO,male
http://dati.camera.it/ocd/persona.rdf/p12130,SANTO FILIPPO NERI,SEMERARO,male
http://dati.camera.it/ocd/persona.rdf/p12140,EGIDIO,FERRARA,male
http://dati.camera.it/ocd/persona.rdf/p12150,RAFFAELE PIO,PETRILLI,male
http://dati.camera.it/ocd/persona.rdf/p12160,ADOLFO,QUINTIERI,male
http://dati.camera.it/ocd/persona.rdf/p12180,LUIGI,DE FILPO,male
http://dati.camera.it/ocd/persona.rdf/p12190,ALCIDE,MALAGUGINI,male
http://dati.camera.it/ocd/persona.rdf/p1220,CARLO,BUZZI,male
http://dati.camera.it/ocd/persona.rdf/p12210,ANGELO,PRIORE,male
http://dati.camera.it/ocd/persona.rdf/p12220,ALESSANDRO,COPPI,male
http://dati.camera.it/ocd/persona.rdf/p12230,CELESTE,BASTIANETTO,male
http://dati.camera.it/ocd/persona.rdf/p12240,GIOVANNI,CUOMO,male
http://dati.camera.it/ocd/persona.rdf/p12260,OLINDO,CREMASCHI,male
http://dati.camera.it/ocd/persona.rdf/p12280,GIUSEPPE,NOTARIANNI,male
http://dati.camera.it/ocd/persona.rdf/p12290,FRANCESCO,COCCO ORTU,male
http://dati.camera.it/ocd/persona.rdf/p12300,FRANCESCO,CHIEFFI,male
http://dati.camera.it/ocd/persona.rdf/p12320,MARZIANO,GUGLIELMINETTI,male
http://dati.camera.it/ocd/persona.rdf/p12330,ALBERTO,SIMONINI,male
http://dati.camera.it/ocd/persona.rdf/p12340,FRANCESCO AURELIO,DI BELLA,male
http://dati.camera.it/ocd/persona.rdf/p12350,GIOVANNI,BOVETTI,male
http://dati.camera.it/ocd/persona.rdf/p12360,MARIO,BERLINGUER,male
http://dati.camera.it/ocd/persona.rdf/p12370,GIULIO,TURCHI,male
http://dati.camera.it/ocd/persona.rdf/p12410,LUIGI,MEDA,male
http://dati.camera.it/ocd/persona.rdf/p12420,EZIO,VIGORELLI,male
http://dati.camera.it/ocd/persona.rdf/p12430,FORTUNATO,CALCAGNO,male
http://dati.camera.it/ocd/persona.rdf/p12440,VITO GIUSEPPE,GALATI,male
http://dati.camera.it/ocd/persona.rdf/p12450,GIOVANNI,CARIGNANI,male
http://dati.camera.it/ocd/persona.rdf/p12470,TARCISIO,PACATI,male
http://dati.camera.it/ocd/persona.rdf/p12480,VINCENZO,TIERI,male
http://dati.camera.it/ocd/persona.rdf/p12490,PIERO,MALVESTITI,male
http://dati.camera.it/ocd/persona.rdf/p12500,ANTONIO,MOLINAROLI,male
http://dati.camera.it/ocd/persona.rdf/p1250,ITALO GIULIO,CAIATI,male
http://dati.camera.it/ocd/persona.rdf/p12510,RENATO,TEGA,male
http://dati.camera.it/ocd/persona.rdf/p12520,VINCENZO,BAVARO,male
http://dati.camera.it/ocd/persona.rdf/p12530,EZIO,VILLANI,male
http://dati.camera.it/ocd/persona.rdf/p12540,FERDINANDO,TAMBRONI ARMAROLI,male
http://dati.camera.it/ocd/persona.rdf/p12560,ARNALDO,AZZI,male
http://dati.camera.it/ocd/persona.rdf/p12570,ENRICO,GRAZI,male
http://dati.camera.it/ocd/persona.rdf/p12590,OLINDO,PREZIOSI,male
http://dati.camera.it/ocd/persona.rdf/p12600,GUIDO,FALETRA,male
http://dati.camera.it/ocd/persona.rdf/p12610,UMBERTO,SANNICOLO',male
http://dati.camera.it/ocd/persona.rdf/p12620,ORESTE,BONOMELLI,male
